run_index;best_fitness
0;8.953849300345508
1;9.008268457833355
2;8.795855409165846
3;8.949182848766226
4;9.488030910098209
5;9.023187775005296
6;8.67679279484099
7;8.830291281096773
8;9.62590962113815
9;9.167173467045895
